season,drugname,drugcost,alternatedrug,alternatedrugcost,no_of_customer_using_drug,no_of_customer_using_alternate_drug,Year,Month,YearMonth
Summer,Atorvastatin,58,Rosuvastatin,25,553,663,2013,11,2013-11
Winter,Omeprazole,468,Pantoprazole,444,387,553,2022,4,2022-04
Autumn,Amoxicillin,457,Azithromycin,450,455,595,2023,10,2023-10
Summer,Atorvastatin,218,Rosuvastatin,176,488,498,2023,5,2023-05
Winter,Paracetamol,92,Ibuprofen,137,699,133,2014,6,2014-06
Winter,Paracetamol,349,Ibuprofen,387,261,108,2015,1,2015-01
Winter,Metformin,257,Glimepiride,296,576,143,2019,7,2019-07
Summer,Salbutamol,394,Terbutaline,425,133,65,2015,7,2015-07
Spring,Metformin,329,Glimepiride,288,205,398,2017,2,2017-02
Spring,Losartan,360,Telmisartan,330,402,711,2019,2,2019-02
Winter,Atorvastatin,253,Rosuvastatin,218,638,470,2021,6,2021-06
Autumn,Amoxicillin,168,Azithromycin,124,153,636,2021,12,2021-12
Monsoon,Salbutamol,213,Terbutaline,165,915,179,2013,9,2013-09
Winter,Atorvastatin,215,Rosuvastatin,165,915,217,2010,6,2010-06
Winter,Amoxicillin,147,Azithromycin,110,817,707,2019,11,2019-11
Spring,Metformin,400,Glimepiride,410,215,105,2011,10,2011-10
Summer,Insulin,134,Glipizide,108,130,83,2021,11,2021-11
Autumn,Amoxicillin,163,Azithromycin,137,730,681,2014,5,2014-05
Winter,Paracetamol,441,Ibuprofen,454,962,695,2014,5,2014-05
Spring,Paracetamol,211,Ibuprofen,174,507,606,2020,8,2020-08
Autumn,Levothyroxine,467,Liothyronine,461,890,281,2023,9,2023-09
Monsoon,Amoxicillin,276,Azithromycin,293,202,605,2010,1,2010-01
Monsoon,Paracetamol,90,Ibuprofen,116,319,786,2017,4,2017-04
Winter,Insulin,271,Glipizide,229,916,691,2020,8,2020-08
Autumn,Atorvastatin,225,Rosuvastatin,243,411,488,2023,9,2023-09
Summer,Metformin,152,Glimepiride,183,128,64,2022,4,2022-04
Autumn,Cetirizine,382,Loratadine,352,350,195,2024,6,2024-06
Autumn,Paracetamol,301,Ibuprofen,252,215,374,2012,8,2012-08
Summer,Levothyroxine,117,Liothyronine,103,266,235,2016,8,2016-08
Spring,Amoxicillin,142,Azithromycin,93,284,55,2017,8,2017-08
Winter,Atorvastatin,362,Rosuvastatin,353,204,743,2019,9,2019-09
Summer,Cetirizine,268,Loratadine,275,861,421,2017,2,2017-02
Spring,Levothyroxine,272,Liothyronine,242,539,538,2012,12,2012-12
Monsoon,Paracetamol,217,Ibuprofen,196,265,64,2023,7,2023-07
Spring,Insulin,392,Glipizide,426,823,298,2013,11,2013-11
Spring,Omeprazole,487,Pantoprazole,475,796,260,2022,8,2022-08
Summer,Omeprazole,352,Pantoprazole,341,839,96,2016,1,2016-01
Autumn,Atorvastatin,405,Rosuvastatin,369,304,175,2020,10,2020-10
Autumn,Salbutamol,411,Terbutaline,444,462,529,2012,7,2012-07
Autumn,Cetirizine,275,Loratadine,284,626,708,2024,5,2024-05
Monsoon,Losartan,433,Telmisartan,422,573,154,2011,12,2011-12
Monsoon,Losartan,149,Telmisartan,179,843,414,2010,12,2010-12
Spring,Amoxicillin,440,Azithromycin,464,613,362,2023,3,2023-03
Summer,Paracetamol,109,Ibuprofen,149,105,590,2013,9,2013-09
Autumn,Paracetamol,242,Ibuprofen,193,923,373,2023,9,2023-09
Summer,Losartan,184,Telmisartan,212,536,707,2019,10,2019-10
Monsoon,Cetirizine,268,Loratadine,247,315,50,2017,10,2017-10
Spring,Levothyroxine,81,Liothyronine,34,686,769,2021,9,2021-09
Autumn,Salbutamol,180,Terbutaline,134,775,257,2022,6,2022-06
Winter,Levothyroxine,254,Liothyronine,236,851,129,2011,11,2011-11
Summer,Salbutamol,243,Terbutaline,216,994,388,2014,10,2014-10
Summer,Atorvastatin,444,Rosuvastatin,430,461,341,2023,6,2023-06
Winter,Omeprazole,463,Pantoprazole,421,332,616,2019,7,2019-07
Winter,Paracetamol,248,Ibuprofen,230,304,633,2018,11,2018-11
Summer,Amoxicillin,227,Azithromycin,177,231,545,2022,6,2022-06
Monsoon,Cetirizine,415,Loratadine,425,929,748,2019,7,2019-07
Spring,Metformin,178,Glimepiride,225,408,386,2010,11,2010-11
Monsoon,Omeprazole,57,Pantoprazole,18,558,157,2016,9,2016-09
Autumn,Omeprazole,99,Pantoprazole,105,826,382,2011,1,2011-01
Winter,Salbutamol,200,Terbutaline,152,377,585,2020,1,2020-01
Autumn,Paracetamol,319,Ibuprofen,303,526,128,2010,2,2010-02
Spring,Metformin,391,Glimepiride,431,995,466,2011,12,2011-12
Monsoon,Amoxicillin,284,Azithromycin,278,757,502,2010,8,2010-08
Winter,Atorvastatin,87,Rosuvastatin,99,700,792,2021,11,2021-11
Autumn,Losartan,118,Telmisartan,139,308,388,2012,3,2012-03
Winter,Omeprazole,119,Pantoprazole,102,258,244,2017,12,2017-12
Spring,Omeprazole,336,Pantoprazole,315,414,641,2013,12,2013-12
Winter,Atorvastatin,220,Rosuvastatin,262,742,114,2017,5,2017-05
Summer,Metformin,403,Glimepiride,378,591,407,2020,3,2020-03
Winter,Cetirizine,497,Loratadine,502,345,117,2015,3,2015-03
Monsoon,Atorvastatin,329,Rosuvastatin,361,558,248,2022,7,2022-07
Autumn,Levothyroxine,486,Liothyronine,454,679,794,2023,12,2023-12
Winter,Insulin,165,Glipizide,158,220,793,2020,8,2020-08
Winter,Levothyroxine,108,Liothyronine,116,748,204,2021,5,2021-05
Summer,Losartan,242,Telmisartan,277,907,641,2018,7,2018-07
Monsoon,Atorvastatin,400,Rosuvastatin,373,781,148,2023,7,2023-07
Winter,Atorvastatin,353,Rosuvastatin,391,173,677,2013,5,2013-05
Winter,Levothyroxine,395,Liothyronine,376,858,571,2019,7,2019-07
Spring,Insulin,69,Glipizide,88,716,274,2019,9,2019-09
Spring,Cetirizine,349,Loratadine,344,438,527,2011,6,2011-06
Monsoon,Atorvastatin,451,Rosuvastatin,428,533,763,2020,12,2020-12
Monsoon,Metformin,375,Glimepiride,394,241,674,2024,9,2024-09
Monsoon,Paracetamol,209,Ibuprofen,178,195,723,2011,1,2011-01
Autumn,Levothyroxine,410,Liothyronine,391,121,681,2023,3,2023-03
Summer,Insulin,73,Glipizide,120,863,369,2018,8,2018-08
Monsoon,Metformin,349,Glimepiride,391,544,731,2021,5,2021-05
Monsoon,Salbutamol,454,Terbutaline,428,429,71,2019,6,2019-06
Autumn,Salbutamol,255,Terbutaline,237,288,53,2020,10,2020-10
Spring,Salbutamol,484,Terbutaline,437,242,76,2021,9,2021-09
Monsoon,Paracetamol,426,Ibuprofen,395,147,602,2021,2,2021-02
Spring,Insulin,303,Glipizide,276,485,174,2024,6,2024-06
Autumn,Cetirizine,185,Loratadine,158,439,450,2017,12,2017-12
Monsoon,Amoxicillin,231,Azithromycin,255,956,116,2024,4,2024-04
Summer,Losartan,134,Telmisartan,145,249,778,2024,2,2024-02
Summer,Losartan,268,Telmisartan,249,916,464,2014,10,2014-10
Spring,Amoxicillin,195,Azithromycin,178,425,547,2024,6,2024-06
Summer,Atorvastatin,93,Rosuvastatin,138,572,608,2016,3,2016-03
Spring,Paracetamol,342,Ibuprofen,292,416,624,2015,5,2015-05
Spring,Salbutamol,198,Terbutaline,184,235,394,2011,6,2011-06
Spring,Paracetamol,485,Ibuprofen,492,719,758,2016,2,2016-02
Summer,Metformin,100,Glimepiride,128,139,609,2018,8,2018-08
Autumn,Salbutamol,230,Terbutaline,203,598,543,2022,8,2022-08
Autumn,Cetirizine,334,Loratadine,357,243,241,2023,1,2023-01
Summer,Paracetamol,77,Ibuprofen,28,229,703,2018,10,2018-10
Winter,Salbutamol,334,Terbutaline,296,600,115,2017,10,2017-10
Summer,Atorvastatin,350,Rosuvastatin,380,785,666,2014,7,2014-07
Summer,Metformin,201,Glimepiride,161,221,225,2017,10,2017-10
Autumn,Insulin,245,Glipizide,205,346,797,2013,8,2013-08
Spring,Paracetamol,392,Ibuprofen,373,753,288,2013,5,2013-05
Monsoon,Amoxicillin,462,Azithromycin,418,819,86,2021,3,2021-03
Summer,Cetirizine,130,Loratadine,135,737,623,2010,11,2010-11
Spring,Amoxicillin,149,Azithromycin,120,754,160,2010,1,2010-01
Spring,Salbutamol,103,Terbutaline,80,728,633,2019,9,2019-09
Autumn,Amoxicillin,236,Azithromycin,278,539,234,2014,7,2014-07
Spring,Cetirizine,95,Loratadine,123,935,600,2017,5,2017-05
Autumn,Metformin,299,Glimepiride,325,903,413,2022,12,2022-12
Winter,Metformin,315,Glimepiride,287,497,530,2018,3,2018-03
Summer,Omeprazole,104,Pantoprazole,128,555,418,2023,2,2023-02
Spring,Amoxicillin,317,Azithromycin,367,340,144,2018,10,2018-10
Monsoon,Omeprazole,257,Pantoprazole,236,262,655,2015,2,2015-02
Autumn,Omeprazole,355,Pantoprazole,385,701,166,2012,1,2012-01
Autumn,Amoxicillin,122,Azithromycin,139,746,649,2016,5,2016-05
Summer,Atorvastatin,332,Rosuvastatin,355,373,135,2023,7,2023-07
Summer,Metformin,239,Glimepiride,246,676,276,2018,2,2018-02
Monsoon,Insulin,394,Glipizide,443,231,200,2014,11,2014-11
Winter,Amoxicillin,417,Azithromycin,435,926,747,2012,3,2012-03
Summer,Levothyroxine,285,Liothyronine,310,391,426,2013,6,2013-06
Autumn,Cetirizine,93,Loratadine,143,872,474,2015,2,2015-02
Summer,Insulin,441,Glipizide,401,973,723,2018,2,2018-02
Spring,Atorvastatin,190,Rosuvastatin,231,526,461,2021,2,2021-02
Winter,Omeprazole,268,Pantoprazole,308,757,304,2011,12,2011-12
Autumn,Omeprazole,259,Pantoprazole,280,312,568,2024,6,2024-06
Summer,Losartan,338,Telmisartan,322,970,372,2015,8,2015-08
Spring,Metformin,367,Glimepiride,325,865,764,2011,2,2011-02
Winter,Levothyroxine,350,Liothyronine,319,215,474,2016,1,2016-01
Spring,Omeprazole,228,Pantoprazole,186,127,690,2013,12,2013-12
Monsoon,Insulin,350,Glipizide,315,219,314,2024,2,2024-02
Summer,Omeprazole,422,Pantoprazole,376,934,201,2023,10,2023-10
Winter,Cetirizine,252,Loratadine,294,204,222,2014,3,2014-03
Summer,Insulin,131,Glipizide,171,574,403,2015,4,2015-04
Winter,Paracetamol,228,Ibuprofen,241,401,521,2019,9,2019-09
Winter,Losartan,159,Telmisartan,146,457,120,2022,2,2022-02
Winter,Salbutamol,180,Terbutaline,210,191,71,2023,8,2023-08
Spring,Amoxicillin,272,Azithromycin,227,820,152,2021,10,2021-10
Monsoon,Levothyroxine,149,Liothyronine,176,172,281,2024,7,2024-07
Summer,Cetirizine,154,Loratadine,108,331,656,2015,5,2015-05
Autumn,Atorvastatin,389,Rosuvastatin,402,370,168,2021,7,2021-07
Monsoon,Amoxicillin,190,Azithromycin,142,240,309,2022,8,2022-08
Spring,Salbutamol,76,Terbutaline,90,755,153,2015,12,2015-12
Summer,Metformin,213,Glimepiride,204,809,187,2023,5,2023-05
Summer,Atorvastatin,188,Rosuvastatin,145,625,283,2010,8,2010-08
Winter,Metformin,339,Glimepiride,298,745,611,2014,7,2014-07
Summer,Paracetamol,442,Ibuprofen,465,711,286,2022,7,2022-07
Spring,Levothyroxine,147,Liothyronine,171,296,393,2020,4,2020-04
Winter,Paracetamol,153,Ibuprofen,116,800,479,2024,1,2024-01
Spring,Levothyroxine,326,Liothyronine,332,921,438,2017,4,2017-04
Autumn,Levothyroxine,84,Liothyronine,126,881,64,2014,9,2014-09
Autumn,Insulin,343,Glipizide,312,461,351,2022,4,2022-04
Monsoon,Metformin,483,Glimepiride,523,476,167,2022,1,2022-01
Monsoon,Amoxicillin,103,Azithromycin,124,876,643,2013,10,2013-10
Spring,Metformin,361,Glimepiride,323,429,237,2017,10,2017-10
Winter,Amoxicillin,448,Azithromycin,464,923,762,2012,4,2012-04
Spring,Insulin,94,Glipizide,110,395,128,2018,8,2018-08
Monsoon,Metformin,101,Glimepiride,147,690,532,2010,12,2010-12
Summer,Atorvastatin,180,Rosuvastatin,152,367,318,2023,4,2023-04
Summer,Amoxicillin,128,Azithromycin,159,794,223,2010,5,2010-05
Autumn,Insulin,378,Glipizide,392,151,797,2013,6,2013-06
Winter,Amoxicillin,209,Azithromycin,197,991,588,2016,8,2016-08
Summer,Salbutamol,85,Terbutaline,59,738,371,2020,8,2020-08
Monsoon,Paracetamol,304,Ibuprofen,276,881,609,2020,11,2020-11
Monsoon,Paracetamol,82,Ibuprofen,107,112,771,2012,9,2012-09
Spring,Levothyroxine,353,Liothyronine,304,816,506,2015,10,2015-10
Summer,Paracetamol,85,Ibuprofen,116,840,358,2013,10,2013-10
Monsoon,Salbutamol,100,Terbutaline,76,711,368,2017,6,2017-06
Monsoon,Insulin,494,Glipizide,477,898,459,2011,8,2011-08
Autumn,Salbutamol,406,Terbutaline,373,419,568,2016,4,2016-04
Monsoon,Insulin,162,Glipizide,192,396,303,2022,6,2022-06
Autumn,Salbutamol,481,Terbutaline,450,257,345,2024,8,2024-08
Winter,Salbutamol,245,Terbutaline,231,321,546,2012,4,2012-04
Autumn,Cetirizine,63,Loratadine,30,381,439,2023,9,2023-09
Winter,Salbutamol,54,Terbutaline,20,423,198,2012,5,2012-05
Monsoon,Losartan,488,Telmisartan,507,328,315,2010,7,2010-07
Autumn,Omeprazole,215,Pantoprazole,260,786,455,2021,8,2021-08
Winter,Amoxicillin,400,Azithromycin,438,647,67,2012,10,2012-10
Summer,Insulin,210,Glipizide,193,333,651,2014,7,2014-07
Winter,Amoxicillin,95,Azithromycin,137,292,168,2010,10,2010-10
Summer,Levothyroxine,474,Liothyronine,453,629,370,2021,8,2021-08
Winter,Insulin,340,Glipizide,320,362,237,2016,4,2016-04
Winter,Omeprazole,152,Pantoprazole,176,857,687,2020,7,2020-07
Autumn,Losartan,259,Telmisartan,264,826,57,2015,6,2015-06
Summer,Insulin,294,Glipizide,281,366,227,2016,11,2016-11
Autumn,Metformin,168,Glimepiride,141,181,754,2022,9,2022-09
Monsoon,Atorvastatin,425,Rosuvastatin,412,281,796,2011,5,2011-05
Monsoon,Salbutamol,126,Terbutaline,142,872,600,2012,6,2012-06
Summer,Losartan,108,Telmisartan,121,925,159,2022,7,2022-07
Summer,Salbutamol,84,Terbutaline,38,595,435,2019,10,2019-10
Monsoon,Salbutamol,134,Terbutaline,181,251,255,2023,4,2023-04
Autumn,Metformin,416,Glimepiride,377,529,275,2021,10,2021-10
Summer,Amoxicillin,160,Azithromycin,195,988,543,2013,12,2013-12
Winter,Omeprazole,399,Pantoprazole,437,271,152,2010,11,2010-11
Monsoon,Omeprazole,250,Pantoprazole,298,702,757,2013,5,2013-05
Monsoon,Metformin,185,Glimepiride,158,184,351,2012,1,2012-01
Winter,Losartan,491,Telmisartan,527,318,726,2015,6,2015-06
Monsoon,Insulin,145,Glipizide,122,997,88,2017,5,2017-05
Winter,Losartan,338,Telmisartan,384,268,500,2012,3,2012-03
Monsoon,Atorvastatin,218,Rosuvastatin,259,111,317,2014,9,2014-09
Winter,Atorvastatin,499,Rosuvastatin,505,668,336,2020,1,2020-01
Autumn,Atorvastatin,141,Rosuvastatin,172,117,507,2019,12,2019-12
Winter,Salbutamol,308,Terbutaline,348,386,688,2015,8,2015-08
Monsoon,Paracetamol,199,Ibuprofen,192,472,459,2020,10,2020-10
Winter,Insulin,115,Glipizide,75,881,237,2013,7,2013-07
Monsoon,Salbutamol,421,Terbutaline,408,126,666,2021,8,2021-08
Autumn,Omeprazole,208,Pantoprazole,159,226,330,2011,7,2011-07
Autumn,Atorvastatin,371,Rosuvastatin,365,944,95,2016,4,2016-04
Winter,Amoxicillin,444,Azithromycin,494,493,457,2013,6,2013-06
Summer,Insulin,105,Glipizide,130,307,159,2014,4,2014-04
Autumn,Atorvastatin,457,Rosuvastatin,408,744,77,2010,7,2010-07
Winter,Levothyroxine,350,Liothyronine,359,122,116,2020,4,2020-04
Autumn,Metformin,469,Glimepiride,441,804,117,2024,6,2024-06
Autumn,Levothyroxine,495,Liothyronine,471,665,723,2010,5,2010-05
Monsoon,Amoxicillin,241,Azithromycin,207,678,299,2015,3,2015-03
Spring,Atorvastatin,137,Rosuvastatin,98,104,792,2020,1,2020-01
Spring,Cetirizine,51,Loratadine,100,634,445,2013,6,2013-06
Autumn,Atorvastatin,443,Rosuvastatin,431,400,495,2015,11,2015-11
Autumn,Insulin,282,Glipizide,292,715,664,2020,2,2020-02
Summer,Losartan,420,Telmisartan,463,325,383,2011,10,2011-10
Spring,Losartan,268,Telmisartan,276,664,128,2017,12,2017-12
Monsoon,Losartan,51,Telmisartan,57,435,756,2017,4,2017-04
Autumn,Levothyroxine,265,Liothyronine,273,537,693,2021,8,2021-08
Spring,Metformin,124,Glimepiride,104,879,742,2023,8,2023-08
Winter,Levothyroxine,107,Liothyronine,114,644,455,2018,6,2018-06
Monsoon,Amoxicillin,465,Azithromycin,439,831,136,2014,1,2014-01
Monsoon,Levothyroxine,463,Liothyronine,479,316,239,2017,2,2017-02
Summer,Insulin,165,Glipizide,188,828,134,2022,6,2022-06
Summer,Salbutamol,128,Terbutaline,113,585,437,2010,7,2010-07
Summer,Cetirizine,406,Loratadine,435,256,337,2011,1,2011-01
Spring,Levothyroxine,412,Liothyronine,388,672,435,2022,1,2022-01
Summer,Omeprazole,336,Pantoprazole,315,452,70,2019,4,2019-04
Monsoon,Cetirizine,359,Loratadine,335,701,257,2010,2,2010-02
Spring,Levothyroxine,117,Liothyronine,69,334,152,2014,7,2014-07
Winter,Metformin,57,Glimepiride,25,200,738,2012,8,2012-08
Autumn,Levothyroxine,421,Liothyronine,373,936,549,2010,10,2010-10
Winter,Paracetamol,291,Ibuprofen,304,398,425,2015,1,2015-01
Winter,Omeprazole,390,Pantoprazole,375,153,455,2012,8,2012-08
Monsoon,Omeprazole,108,Pantoprazole,60,516,319,2024,2,2024-02
Autumn,Paracetamol,446,Ibuprofen,401,606,499,2021,2,2021-02
Monsoon,Amoxicillin,438,Azithromycin,478,166,349,2015,9,2015-09
Summer,Amoxicillin,239,Azithromycin,252,739,357,2018,5,2018-05
Summer,Paracetamol,225,Ibuprofen,213,412,510,2010,8,2010-08
Summer,Omeprazole,419,Pantoprazole,381,515,538,2023,2,2023-02
Winter,Cetirizine,436,Loratadine,388,841,740,2011,2,2011-02
Winter,Salbutamol,208,Terbutaline,231,553,691,2015,1,2015-01
Monsoon,Insulin,121,Glipizide,101,358,724,2015,8,2015-08
Winter,Omeprazole,421,Pantoprazole,389,986,487,2017,10,2017-10
Autumn,Insulin,417,Glipizide,404,427,578,2014,10,2014-10
Autumn,Paracetamol,291,Ibuprofen,277,986,457,2010,9,2010-09
Monsoon,Amoxicillin,299,Azithromycin,290,315,753,2021,11,2021-11
Winter,Losartan,56,Telmisartan,85,413,78,2010,3,2010-03
Monsoon,Insulin,473,Glipizide,453,631,600,2018,8,2018-08
Monsoon,Losartan,59,Telmisartan,98,284,69,2023,10,2023-10
Monsoon,Omeprazole,384,Pantoprazole,355,268,105,2014,11,2014-11
Monsoon,Atorvastatin,344,Rosuvastatin,310,733,498,2020,11,2020-11
Spring,Cetirizine,110,Loratadine,61,571,469,2022,3,2022-03
Autumn,Paracetamol,241,Ibuprofen,254,412,59,2015,10,2015-10
Summer,Cetirizine,478,Loratadine,429,192,341,2010,8,2010-08
Winter,Insulin,482,Glipizide,500,500,153,2018,9,2018-09
Autumn,Paracetamol,326,Ibuprofen,301,209,93,2012,9,2012-09
Autumn,Insulin,305,Glipizide,285,628,248,2019,8,2019-08
Monsoon,Salbutamol,238,Terbutaline,213,379,441,2016,9,2016-09
Monsoon,Amoxicillin,317,Azithromycin,276,589,727,2015,10,2015-10
Winter,Insulin,129,Glipizide,109,982,673,2012,3,2012-03
Summer,Insulin,274,Glipizide,255,306,215,2019,7,2019-07
Spring,Cetirizine,414,Loratadine,434,862,97,2019,8,2019-08
Winter,Metformin,145,Glimepiride,126,266,454,2015,5,2015-05
Monsoon,Cetirizine,140,Loratadine,190,237,252,2018,1,2018-01
Summer,Cetirizine,268,Loratadine,233,904,592,2012,8,2012-08
Summer,Amoxicillin,400,Azithromycin,387,429,268,2023,5,2023-05
Monsoon,Salbutamol,190,Terbutaline,228,577,557,2012,11,2012-11
Autumn,Omeprazole,262,Pantoprazole,227,875,600,2023,5,2023-05
Monsoon,Cetirizine,182,Loratadine,140,790,384,2013,1,2013-01
Winter,Losartan,484,Telmisartan,531,189,574,2014,8,2014-08
Spring,Atorvastatin,354,Rosuvastatin,313,395,499,2017,6,2017-06
Monsoon,Paracetamol,205,Ibuprofen,250,218,668,2017,6,2017-06
Summer,Salbutamol,466,Terbutaline,459,565,140,2010,7,2010-07
Monsoon,Insulin,184,Glipizide,233,347,540,2010,4,2010-04
Winter,Atorvastatin,459,Rosuvastatin,437,187,305,2017,7,2017-07
Summer,Insulin,463,Glipizide,487,110,232,2018,6,2018-06
Autumn,Amoxicillin,400,Azithromycin,391,437,705,2020,8,2020-08
Monsoon,Insulin,266,Glipizide,244,935,376,2012,11,2012-11
Summer,Metformin,302,Glimepiride,270,545,97,2017,10,2017-10
Summer,Amoxicillin,276,Azithromycin,314,968,157,2015,5,2015-05
Autumn,Paracetamol,360,Ibuprofen,398,632,501,2017,11,2017-11
Summer,Atorvastatin,286,Rosuvastatin,309,727,105,2020,6,2020-06
Spring,Insulin,217,Glipizide,246,384,481,2020,9,2020-09
Monsoon,Losartan,318,Telmisartan,281,479,747,2019,6,2019-06
Autumn,Amoxicillin,280,Azithromycin,310,882,261,2021,1,2021-01
Summer,Cetirizine,448,Loratadine,474,746,231,2013,1,2013-01
Summer,Paracetamol,254,Ibuprofen,228,619,118,2021,6,2021-06
Winter,Atorvastatin,123,Rosuvastatin,106,542,649,2021,2,2021-02
Autumn,Amoxicillin,280,Azithromycin,262,290,255,2020,4,2020-04
Summer,Levothyroxine,335,Liothyronine,309,746,730,2012,6,2012-06
Summer,Cetirizine,289,Loratadine,255,383,59,2020,3,2020-03
Spring,Metformin,199,Glimepiride,224,920,452,2014,12,2014-12
Winter,Amoxicillin,293,Azithromycin,328,572,224,2022,9,2022-09
Winter,Omeprazole,227,Pantoprazole,271,714,609,2011,4,2011-04
Winter,Losartan,98,Telmisartan,112,748,555,2012,9,2012-09
Winter,Omeprazole,401,Pantoprazole,355,983,464,2017,4,2017-04
Winter,Losartan,140,Telmisartan,115,518,79,2010,2,2010-02
Monsoon,Losartan,128,Telmisartan,163,850,586,2023,6,2023-06
Summer,Atorvastatin,255,Rosuvastatin,301,192,424,2017,10,2017-10
Spring,Levothyroxine,304,Liothyronine,293,334,514,2011,12,2011-12
Spring,Losartan,314,Telmisartan,271,767,585,2013,5,2013-05
Monsoon,Cetirizine,109,Loratadine,88,332,295,2015,6,2015-06
Spring,Paracetamol,476,Ibuprofen,525,270,124,2022,3,2022-03
Winter,Omeprazole,454,Pantoprazole,412,431,66,2010,1,2010-01
Winter,Paracetamol,181,Ibuprofen,223,518,173,2018,4,2018-04
Autumn,Amoxicillin,271,Azithromycin,277,289,195,2015,3,2015-03
Winter,Atorvastatin,494,Rosuvastatin,465,336,439,2014,5,2014-05
Monsoon,Metformin,347,Glimepiride,358,910,697,2016,3,2016-03
Monsoon,Atorvastatin,233,Rosuvastatin,206,460,304,2022,3,2022-03
Summer,Salbutamol,386,Terbutaline,406,914,544,2023,8,2023-08
Spring,Insulin,440,Glipizide,483,921,264,2011,9,2011-09
Spring,Omeprazole,479,Pantoprazole,473,883,376,2022,10,2022-10
Winter,Levothyroxine,133,Liothyronine,145,324,482,2024,12,2024-12
Summer,Paracetamol,202,Ibuprofen,172,923,281,2021,12,2021-12
Winter,Cetirizine,245,Loratadine,220,256,360,2019,2,2019-02
Autumn,Levothyroxine,348,Liothyronine,337,208,626,2021,12,2021-12
Monsoon,Levothyroxine,314,Liothyronine,279,828,556,2014,11,2014-11
Monsoon,Paracetamol,233,Ibuprofen,268,930,725,2020,5,2020-05
Spring,Salbutamol,340,Terbutaline,332,842,704,2011,10,2011-10
Autumn,Atorvastatin,73,Rosuvastatin,116,156,57,2024,5,2024-05
Autumn,Levothyroxine,304,Liothyronine,259,609,554,2013,12,2013-12
Winter,Levothyroxine,415,Liothyronine,431,991,184,2020,12,2020-12
Winter,Amoxicillin,81,Azithromycin,107,919,161,2020,7,2020-07
Monsoon,Atorvastatin,482,Rosuvastatin,434,547,699,2016,6,2016-06
Winter,Metformin,120,Glimepiride,101,789,250,2016,10,2016-10
Winter,Cetirizine,197,Loratadine,162,452,498,2021,5,2021-05
Monsoon,Omeprazole,359,Pantoprazole,387,798,401,2019,4,2019-04
Spring,Levothyroxine,277,Liothyronine,316,721,378,2023,5,2023-05
Summer,Insulin,402,Glipizide,364,682,519,2012,4,2012-04
Monsoon,Losartan,206,Telmisartan,187,327,394,2010,9,2010-09
Monsoon,Salbutamol,334,Terbutaline,367,876,371,2012,4,2012-04
Autumn,Insulin,178,Glipizide,170,194,699,2013,2,2013-02
Monsoon,Cetirizine,121,Loratadine,153,105,417,2023,7,2023-07
Autumn,Paracetamol,359,Ibuprofen,375,794,341,2017,1,2017-01
Monsoon,Atorvastatin,97,Rosuvastatin,68,686,437,2024,11,2024-11
Autumn,Salbutamol,399,Terbutaline,374,932,377,2011,4,2011-04
Spring,Levothyroxine,255,Liothyronine,282,885,349,2021,3,2021-03
Spring,Levothyroxine,115,Liothyronine,147,589,603,2012,2,2012-02
Monsoon,Atorvastatin,480,Rosuvastatin,486,721,152,2022,12,2022-12
Autumn,Losartan,421,Telmisartan,459,577,712,2010,5,2010-05
Summer,Atorvastatin,171,Rosuvastatin,201,685,612,2015,6,2015-06
Spring,Salbutamol,422,Terbutaline,447,629,212,2019,1,2019-01
Autumn,Paracetamol,179,Ibuprofen,130,629,552,2016,11,2016-11
Monsoon,Amoxicillin,311,Azithromycin,299,389,166,2015,4,2015-04
Winter,Amoxicillin,192,Azithromycin,231,374,180,2013,8,2013-08
Spring,Omeprazole,360,Pantoprazole,410,426,403,2022,9,2022-09
Summer,Omeprazole,55,Pantoprazole,15,244,176,2016,2,2016-02
Spring,Amoxicillin,248,Azithromycin,205,429,566,2024,12,2024-12
Autumn,Metformin,52,Glimepiride,17,184,265,2017,5,2017-05
Spring,Levothyroxine,79,Liothyronine,102,667,554,2015,9,2015-09
Winter,Metformin,99,Glimepiride,52,271,791,2023,1,2023-01
Monsoon,Insulin,487,Glipizide,492,722,555,2022,1,2022-01
Spring,Losartan,62,Telmisartan,80,949,235,2016,10,2016-10
Autumn,Losartan,184,Telmisartan,201,303,257,2013,3,2013-03
Summer,Losartan,389,Telmisartan,363,195,290,2018,3,2018-03
Autumn,Salbutamol,318,Terbutaline,279,417,405,2017,7,2017-07
Summer,Insulin,169,Glipizide,139,856,677,2024,5,2024-05
Autumn,Insulin,400,Glipizide,428,123,665,2020,4,2020-04
Summer,Amoxicillin,361,Azithromycin,390,510,678,2010,7,2010-07
Summer,Omeprazole,76,Pantoprazole,39,663,237,2011,1,2011-01
Winter,Levothyroxine,67,Liothyronine,20,918,105,2014,11,2014-11
Summer,Amoxicillin,74,Azithromycin,51,469,593,2017,8,2017-08
Winter,Omeprazole,269,Pantoprazole,264,544,541,2023,1,2023-01
Monsoon,Metformin,371,Glimepiride,365,201,104,2016,11,2016-11
Winter,Amoxicillin,134,Azithromycin,177,676,74,2010,5,2010-05
Autumn,Omeprazole,469,Pantoprazole,441,371,576,2021,10,2021-10
Winter,Paracetamol,310,Ibuprofen,348,480,74,2012,1,2012-01
Summer,Levothyroxine,121,Liothyronine,104,356,188,2015,2,2015-02
Summer,Losartan,290,Telmisartan,275,341,67,2015,6,2015-06
